no,dd,mm,pax,rank,"delta avg"
0,0,0,0,0,0
1,1,1,37320,1,15798
2,2,1,21804,154,282
3,3,1,22028,129,506
4,4,1,21296,216,-226
5,5,1,22029,128,507
6,6,1,21207,226,-315
7,7,1,20961,259,-561
8,8,1,21114,236,-408
9,9,1,20647,280,-875
10,10,1,22785,40,1263
11,11,1,20901,265,-621
12,12,1,21366,203,-156
13,13,1,20752,272,-770
14,14,1,20963,258,-559
15,15,1,22521,62,999
16,16,1,21218,223,-304
17,17,1,20908,264,-614
18,18,1,21296,216,-226
19,19,1,21178,231,-344
20,20,1,22469,70,947
21,21,1,21351,205,-171
22,22,1,21410,198,-112
23,23,1,21450,188,-72
24,24,1,21315,213,-207
25,25,1,21929,141,407
26,26,1,21426,194,-96
27,27,1,21341,208,-181
28,28,1,21585,172,63
29,29,1,21454,187,-68
30,30,1,21219,222,-303
31,31,1,21125,235,-397
32,1,2,24459,4,2937
33,2,2,22985,31,1463
34,3,2,22065,125,543
35,4,2,21832,151,310
36,5,2,22580,55,1058
37,6,2,22080,122,558
38,7,2,21996,131,474
39,8,2,22145,112,623
40,9,2,21788,156,266
41,10,2,23322,18,18
42,11,2,21882,147,360
43,12,2,22620,51,1098
44,13,2,21857,150,335
45,14,2,22351,88,829
46,15,2,23588,12,2066
47,16,2,22024,130,502
48,17,2,22082,120,560
49,18,2,22182,107,660
50,19,2,22165,109,643
51,20,2,23304,20,1782
52,21,2,21930,140,408
53,22,2,22492,65,970
54,23,2,22131,113,609
55,24,2,22385,82,863
56,25,2,22821,37,1299
57,26,2,22099,116,577
58,27,2,22218,100,696
59,28,2,22562,58,104
60,29,2,5280,366,-16242
61,1,3,25077,2,3555
62,2,3,23003,30,1481
63,3,3,23288,21,1766
64,4,3,22865,34,1343
65,5,3,23117,25,1595
66,6,3,22409,78,887
67,7,3,21995,132,473
68,8,3,22483,68,961
69,9,3,22098,117,576
70,10,3,24013,7,2491
71,11,3,22197,103,675
72,12,3,22429,77,907
73,13,3,22458,74,936
74,14,3,22370,84,848
75,15,3,23672,10,215
76,16,3,22729,45,1207
77,17,3,22222,99,700
78,18,3,22388,81,866
79,19,3,22316,93,794
80,20,3,23309,19,1787
81,21,3,22631,50,1109
82,22,3,22810,39,1288
83,23,3,22714,46,1192
84,24,3,22243,98,721
85,25,3,23150,24,1628
86,26,3,22373,83,851
87,27,3,22357,86,835
88,28,3,22291,95,769
89,29,3,22043,127,521
90,30,3,22554,59,1032
91,31,3,21950,138,428
92,1,4,23631,11,2109
93,2,4,22613,52,1091
94,3,4,22746,42,1224
95,4,4,22570,57,1048
96,5,4,22860,36,1338
97,6,4,22532,61,101
98,7,4,22348,89,826
99,8,4,22358,85,836
100,9,4,22192,105,670
101,10,4,23558,14,2036
102,11,4,22081,121,559
103,12,4,22459,73,937
104,13,4,22182,107,660
105,14,4,22697,48,1175
106,15,4,23399,17,1877
107,16,4,22259,96,737
108,17,4,22473,69,951
109,18,4,22492,65,970
110,19,4,22155,111,633
111,20,4,23401,16,1879
112,21,4,22319,92,797
113,22,4,22692,49,117
114,23,4,22345,90,823
115,24,4,22606,53,1084
116,25,4,23280,22,1758
117,26,4,22398,80,876
118,27,4,22776,41,1254
119,28,4,22741,43,1219
120,29,4,22183,106,661
121,30,4,22491,67,969
122,1,5,25071,3,3549
123,2,5,22815,38,1293
124,3,5,23090,27,1568
125,4,5,22519,63,997
126,5,5,24214,5,2692
127,6,5,22948,32,1426
128,7,5,22248,97,726
129,8,5,22595,54,1073
130,9,5,22431,76,909
131,10,5,23988,8,2466
132,11,5,22091,118,569
133,12,5,22439,75,917
134,13,5,22216,101,694
135,14,5,22340,91,818
136,15,5,23568,13,2046
137,16,5,22312,94,790
138,17,5,21868,149,346
139,18,5,21810,153,288
140,19,5,21811,152,289
141,20,5,23004,29,1482
142,21,5,21982,133,460
143,22,5,21752,159,230
144,23,5,21434,191,-88
145,24,5,21421,195,-101
146,25,5,22740,44,1218
147,26,5,21754,158,232
148,27,5,21654,165,132
149,28,5,21529,182,7
150,29,5,21428,193,-94
151,30,5,21371,202,-151
152,31,5,20786,270,-736
153,1,6,23242,23,172
154,2,6,21960,137,438
155,3,6,21355,204,-167
156,4,6,21542,178,20
157,5,6,22163,110,641
158,6,6,22115,114,593
159,7,6,21538,180,16
160,8,6,21535,181,13
161,9,6,21588,171,66
162,10,6,23080,28,1558
163,11,6,21302,215,-220
164,12,6,21942,139,420
165,13,6,21098,239,-424
166,14,6,21639,168,117
167,15,6,22467,72,945
168,16,6,21906,144,384
169,17,6,21312,214,-210
170,18,6,21248,219,-274
171,19,6,21259,218,-263
172,20,6,22501,64,979
173,21,6,21654,165,132
174,22,6,21566,174,44
175,23,6,21020,250,-502
176,24,6,21547,177,25
177,25,6,21874,148,352
178,26,6,21600,170,78
179,27,6,21231,221,-291
180,28,6,21432,192,-90
181,29,6,21322,212,-200
182,30,6,21475,186,-47
183,1,7,24092,6,257
184,2,7,21573,173,51
185,3,7,21566,174,44
186,4,7,21685,163,163
187,5,7,22071,124,549
188,6,7,21718,162,196
189,7,7,21893,146,371
